instant,dteday,season,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,1,0,False,6,1,-17.644444444444446,-17.617833333333333,0.81,0.0,3.0,13.0,16.0
2,2011-01-01,1,1,False,6,1,-17.655555555555555,-17.62627777777778,0.8,0.0,8.0,32.0,40.0
3,2011-01-01,1,2,False,6,1,-17.655555555555555,-17.62627777777778,0.8,0.0,5.0,27.0,32.0
4,2011-01-01,1,3,False,6,1,-17.644444444444446,-17.617833333333333,0.75,0.0,3.0,10.0,13.0
5,2011-01-01,1,4,False,6,1,-17.644444444444446,-17.617833333333333,0.75,0.0,0.0,1.0,1.0
6,2011-01-01,1,5,False,6,2,-17.644444444444446,-17.634666666666664,0.75,0.0896,0.0,1.0,1.0
7,2011-01-01,1,6,False,6,1,-17.655555555555555,-17.62627777777778,0.8,0.0,2.0,0.0,2.0
8,2011-01-01,1,7,False,6,1,-17.666666666666668,-17.634666666666664,0.86,0.0,1.0,2.0,3.0
9,2011-01-01,1,8,False,6,1,-17.644444444444446,-17.668333333333337,0.75,0.0,1.0,7.0,8.0
10,2011-01-01,1,9,False,6,1,-17.6,-17.584166666666665,0.76,0.0,8.0,6.0,14.0
11,2011-01-01,1,10,False,6,1,-17.577777777777783,-17.558944444444446,0.76,0.2537,12.0,24.0,36.0
12,2011-01-01,1,11,False,6,1,-17.577777777777783,-17.59261111111111,0.81,0.2836,15.0,30.0,56.0
13,2011-01-01,1,12,False,6,1,-17.577777777777783,-17.55891666666666,0.77,0.2836,15.0,55.0,84.0
14,2011-01-01,1,13,False,6,2,-17.577777777777783,-17.55891666666666,0.72,0.2985,15.0,47.0,94.0
15,2011-01-01,1,14,False,6,2,-17.577777777777783,-17.55891666666666,0.72,0.2836,15.0,71.0,106.0
16,2011-01-01,1,15,False,6,2,-17.577777777777783,-17.55891666666666,0.77,0.2985,15.0,70.0,110.0
17,2011-01-01,1,16,False,6,2,-17.577777777777783,-17.55891666666666,0.82,0.2985,15.0,52.0,93.0
18,2011-01-01,1,17,False,6,2,-17.577777777777783,-17.668333333333337,0.82,0.2836,15.0,52.0,67.0
19,2011-01-01,1,18,False,6,3,-17.577777777777783,-17.55891666666666,0.88,0.2537,9.0,26.0,35.0
20,2011-01-01,1,19,False,6,3,-17.577777777777783,-17.55891666666666,0.88,0.2537,6.0,31.0,37.0
21,2011-01-01,1,20,False,6,2,-17.577777777777783,-17.55891666666666,0.87,0.2537,11.0,25.0,36.0
22,2011-01-01,1,21,False,6,2,-17.577777777777783,-17.55891666666666,0.87,0.194,3.0,31.0,34.0
23,2011-01-01,1,22,False,6,2,-17.577777777777783,-17.55891666666666,0.94,0.2239,11.0,17.0,28.0
24,2011-01-01,1,23,False,6,2,-17.577777777777783,-17.668333333333337,0.88,0.2985,15.0,24.0,39.0
25,2011-01-02,1,0,False,0,2,-17.577777777777783,-17.55891666666666,0.88,0.2985,4.0,13.0,17.0
26,2011-01-02,1,1,False,0,2,-17.577777777777783,-17.55891666666666,0.94,0.2537,1.0,16.0,17.0
27,2011-01-02,1,2,False,0,2,-17.577777777777783,-17.55891666666666,1.0,0.2836,1.0,8.0,9.0
28,2011-01-02,1,3,False,0,2,-17.577777777777783,-17.55891666666666,0.94,0.194,2.0,4.0,6.0
29,2011-01-02,1,4,False,0,2,-17.577777777777783,-17.668333333333337,0.94,0.194,2.0,1.0,3.0
30,2011-01-02,1,6,False,0,3,-17.577777777777783,-17.55891666666666,0.77,0.2985,0.0,2.0,2.0
31,2011-01-02,1,7,False,0,2,-17.577777777777783,-17.55891666666666,0.76,0.194,0.0,1.0,1.0
32,2011-01-02,1,8,False,0,3,-17.577777777777783,-17.55891666666666,0.71,0.2239,0.0,8.0,8.0
33,2011-01-02,1,9,False,0,2,-17.577777777777783,-17.668333333333337,0.76,0.2239,1.0,19.0,20.0
34,2011-01-02,1,10,False,0,2,-17.577777777777783,-17.584166666666665,0.81,0.2239,7.0,46.0,53.0
35,2011-01-02,1,11,False,0,2,-17.577777777777783,-17.59261111111111,0.71,0.2537,15.0,54.0,70.0
36,2011-01-02,1,12,False,0,2,-17.577777777777783,-17.59261111111111,0.66,0.2985,15.0,73.0,93.0
37,2011-01-02,1,13,False,0,2,-17.577777777777783,-17.584166666666665,0.66,0.1343,11.0,64.0,75.0
38,2011-01-02,1,14,False,0,3,-17.577777777777783,-17.668333333333337,0.76,0.194,4.0,55.0,59.0
39,2011-01-02,1,15,False,0,3,-17.58888888888889,-17.59261111111111,0.81,0.1642,15.0,55.0,74.0
40,2011-01-02,1,16,False,0,3,-17.58888888888889,-17.59261111111111,0.71,0.1642,9.0,67.0,76.0
41,2011-01-02,1,17,False,0,1,-17.58888888888889,-17.59261111111111,0.57,0.194,7.0,58.0,65.0
42,2011-01-02,1,18,False,0,2,-17.577777777777783,-17.59261111111111,0.46,0.3284,10.0,43.0,53.0
43,2011-01-02,1,19,False,0,1,-17.6,-17.617833333333333,0.42,0.4478,1.0,29.0,30.0
44,2011-01-02,1,20,False,0,1,-17.61111111111111,-17.668333333333337,0.39,0.3582,5.0,17.0,22.0
45,2011-01-02,1,21,False,0,1,-17.633333333333333,-17.6515,0.44,0.3284,11.0,20.0,31.0
46,2011-01-02,1,22,False,0,1,-17.644444444444446,-17.659944444444445,0.44,0.2985,0.0,9.0,9.0
47,2011-01-02,1,23,False,0,1,-17.655555555555555,-17.6515,0.47,0.1642,0.0,8.0,8.0
48,2011-01-03,1,0,False,1,1,-17.655555555555555,-17.668333333333337,0.44,0.3582,0.0,5.0,5.0
49,2011-01-03,1,1,False,1,1,-17.666666666666668,-17.668333333333337,0.44,0.4179,0.0,2.0,2.0
50,2011-01-03,1,4,False,1,1,-17.688888888888886,-17.702,0.47,0.3881,0.0,1.0,1.0
51,2011-01-03,1,5,False,1,1,-17.688888888888886,-17.702,0.47,0.2836,0.0,3.0,3.0
52,2011-01-03,1,6,False,1,1,-17.700000000000003,-17.718833333333333,0.5,0.3881,0.0,30.0,30.0
53,2011-01-03,1,7,False,1,1,-17.700000000000003,-17.702,0.5,0.194,1.0,63.0,64.0
54,2011-01-03,1,8,False,1,1,-17.700000000000003,-17.710444444444445,0.5,0.2836,1.0,153.0,154.0
55,2011-01-03,1,9,False,1,1,-17.688888888888886,-17.702,0.43,0.3881,7.0,81.0,88.0
56,2011-01-03,1,10,False,1,1,-17.677777777777777,-17.685166666666667,0.43,0.2537,11.0,33.0,44.0
57,2011-01-03,1,11,False,1,1,-17.666666666666668,-17.67677777777778,0.4,0.3284,10.0,41.0,51.0
58,2011-01-03,1,12,False,1,1,-17.655555555555555,-17.659944444444445,0.35,0.2985,13.0,48.0,61.0
59,2011-01-03,1,13,False,1,1,-17.644444444444446,-17.668333333333337,0.35,0.2836,8.0,53.0,61.0
60,2011-01-03,1,14,False,1,1,-17.633333333333333,-17.64311111111111,0.3,0.2836,11.0,66.0,77.0
61,2011-01-03,1,15,False,1,1,-17.633333333333333,-17.64311111111111,0.3,0.2537,14.0,58.0,72.0
62,2011-01-03,1,16,False,1,1,-17.633333333333333,-17.64311111111111,0.3,0.2537,9.0,67.0,76.0
63,2011-01-03,1,17,False,1,1,-17.644444444444446,-17.6515,0.3,0.2239,11.0,146.0,157.0
64,2011-01-03,1,18,False,1,1,-17.644444444444446,-17.634666666666664,0.32,0.1045,9.0,148.0,157.0
65,2011-01-03,1,19,False,1,1,-17.666666666666668,-17.634666666666664,0.47,0.0,8.0,102.0,110.0
66,2011-01-03,1,20,False,1,1,-17.666666666666668,-17.668333333333337,0.47,0.1045,3.0,49.0,52.0
67,2011-01-03,1,21,False,1,1,-17.677777777777777,-17.668333333333337,0.64,0.1343,3.0,49.0,52.0
68,2011-01-03,1,22,False,1,1,-17.700000000000003,-17.69361111111111,0.69,0.1343,0.0,20.0,20.0
69,2011-01-03,1,23,False,1,1,-17.677777777777777,-17.659944444444445,0.55,0.1045,1.0,11.0,12.0
70,2011-01-04,1,0,False,2,1,-17.688888888888886,-17.668333333333337,0.55,0.1045,0.0,5.0,5.0
71,2011-01-04,1,1,False,2,1,-17.688888888888886,-17.67677777777778,0.59,0.1045,0.0,2.0,2.0
72,2011-01-04,1,2,False,2,1,-17.700000000000003,-17.69361111111111,0.63,0.1343,0.0,1.0,1.0
73,2011-01-04,1,4,False,2,1,-17.700000000000003,-17.67677777777778,0.63,0.0896,0.0,2.0,2.0
74,2011-01-04,1,5,False,2,1,-17.711111111111112,-17.69361111111111,0.68,0.1045,0.0,4.0,4.0
75,2011-01-04,1,6,False,2,1,-17.711111111111112,-17.69361111111111,0.74,0.1045,0.0,36.0,36.0
76,2011-01-04,1,7,False,2,1,-17.711111111111112,-17.69361111111111,0.74,0.1343,2.0,92.0,94.0
77,2011-01-04,1,8,False,2,1,-17.700000000000003,-17.69361111111111,0.69,0.1642,2.0,162.5,179.0
78,2011-01-04,1,9,False,2,1,-17.688888888888886,-17.69361111111111,0.64,0.2239,2.0,98.0,100.0
79,2011-01-04,1,10,False,2,2,-17.688888888888886,-17.702,0.69,0.3284,5.0,37.0,42.0
80,2011-01-04,1,11,False,2,1,-17.655555555555555,-17.659944444444445,0.51,0.2985,7.0,50.0,57.0
81,2011-01-04,1,12,False,2,1,-17.655555555555555,-17.6515,0.51,0.1642,12.0,66.0,78.0
82,2011-01-04,1,13,False,2,1,-17.644444444444446,-17.6515,0.56,0.194,15.0,79.0,97.0
83,2011-01-04,1,14,False,2,1,-17.633333333333333,-17.634666666666664,0.52,0.2239,9.0,54.0,63.0
